2026-06-10 03:31:47 status half-installed libcom-err2:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:47 status unpacked libcom-err2:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:47 install libcrypt1:arm64 <none> 1:4.5.1-1
2026-06-10 03:31:47 status half-installed libcrypt1:arm64 1:4.5.1-1
2026-06-10 03:31:47 status unpacked libcrypt1:arm64 1:4.5.1-1
2026-06-10 03:31:47 install libdb5.3t64:arm64 <none> 5.3.28+dfsg2-10ubuntu1
2026-06-10 03:31:47 status half-installed libdb5.3t64:arm64 5.3.28+dfsg2-10ubuntu1
2026-06-10 03:31:47 status unpacked libdb5.3t64:arm64 5.3.28+dfsg2-10ubuntu1
2026-06-10 03:31:47 install libdebconfclient0:arm64 <none> 0.280ubuntu1
2026-06-10 03:31:47 status half-installed libdebconfclient0:arm64 0.280ubuntu1
2026-06-10 03:31:47 status unpacked libdebconfclient0:arm64 0.280ubuntu1
2026-06-10 03:31:47 install libext2fs2t64:arm64 <none> 1.47.2-3ubuntu4
2026-06-10 03:31:47 status half-installed libext2fs2t64:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:47 status unpacked libext2fs2t64:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:47 install libgcc-s1:arm64 <none> 16-20260322-1ubuntu1
2026-06-10 03:31:47 status half-installed libgcc-s1:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:47 status unpacked libgcc-s1:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:47 install libgmp10:arm64 <none> 2:6.3.0+dfsg-5ubuntu2
2026-06-10 03:31:47 status half-installed libgmp10:arm64 2:6.3.0+dfsg-5ubuntu2
2026-06-10 03:31:47 status unpacked libgmp10:arm64 2:6.3.0+dfsg-5ubuntu2
2026-06-10 03:31:47 install liblzma5:arm64 <none> 5.8.3-1
2026-06-10 03:31:47 status half-installed liblzma5:arm64 5.8.3-1
2026-06-10 03:31:47 status unpacked liblzma5:arm64 5.8.3-1
2026-06-10 03:31:47 install libmd0:arm64 <none> 1.1.0-2build4
2026-06-10 03:31:47 status half-installed libmd0:arm64 1.1.0-2build4
2026-06-10 03:31:47 status unpacked libmd0:arm64 1.1.0-2build4
2026-06-10 03:31:47 install libmount1:arm64 <none> 2.41.3-3ubuntu2
2026-06-10 03:31:47 status half-installed libmount1:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:47 status unpacked libmount1:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:47 install libncursesw6:arm64 <none> 6.6+20251231-1
2026-06-10 03:31:47 status half-installed libncursesw6:arm64 6.6+20251231-1
2026-06-10 03:31:47 status unpacked libncursesw6:arm64 6.6+20251231-1
2026-06-10 03:31:47 install libpam-modules:arm64 <none> 1.7.0-5ubuntu3
2026-06-10 03:31:47 status half-installed libpam-modules:arm64 1.7.0-5ubuntu3
2026-06-10 03:31:47 status unpacked libpam-modules:arm64 1.7.0-5ubuntu3
2026-06-10 03:31:47 install libpam-modules-bin:arm64 <none> 1.7.0-5ubuntu3
2026-06-10 03:31:47 status half-installed libpam-modules-bin:arm64 1.7.0-5ubuntu3
2026-06-10 03:31:47 status unpacked libpam-modules-bin:arm64 1.7.0-5ubuntu3
2026-06-10 03:31:47 install libpam-runtime:all <none> 1.7.0-5ubuntu3
2026-06-10 03:31:47 status half-installed libpam-runtime:all 1.7.0-5ubuntu3
2026-06-10 03:31:47 status unpacked libpam-runtime:all 1.7.0-5ubuntu3
2026-06-10 03:31:47 install libpam0g:arm64 <none> 1.7.0-5ubuntu3
2026-06-10 03:31:47 status half-installed libpam0g:arm64 1.7.0-5ubuntu3
2026-06-10 03:31:47 status unpacked libpam0g:arm64 1.7.0-5ubuntu3
2026-06-10 03:31:48 install libpcre2-8-0:arm64 <none> 10.46-1build1
2026-06-10 03:31:48 status half-installed libpcre2-8-0:arm64 10.46-1build1
2026-06-10 03:31:48 status unpacked libpcre2-8-0:arm64 10.46-1build1
2026-06-10 03:31:48 install libproc2-0:arm64 <none> 2:4.0.4-9ubuntu1
2026-06-10 03:31:48 status half-installed libproc2-0:arm64 2:4.0.4-9ubuntu1
2026-06-10 03:31:48 status unpacked libproc2-0:arm64 2:4.0.4-9ubuntu1
2026-06-10 03:31:48 install libselinux1:arm64 <none> 3.9-4build1
2026-06-10 03:31:48 status half-installed libselinux1:arm64 3.9-4build1
2026-06-10 03:31:48 status unpacked libselinux1:arm64 3.9-4build1
2026-06-10 03:31:48 install libsemanage-common:all <none> 3.9-1build1
2026-06-10 03:31:48 status half-installed libsemanage-common:all 3.9-1build1
2026-06-10 03:31:48 status unpacked libsemanage-common:all 3.9-1build1
2026-06-10 03:31:48 install libsemanage2:arm64 <none> 3.9-1build1
2026-06-10 03:31:48 status half-installed libsemanage2:arm64 3.9-1build1
2026-06-10 03:31:48 status unpacked libsemanage2:arm64 3.9-1build1
2026-06-10 03:31:48 install libsepol2:arm64 <none> 3.9-2
2026-06-10 03:31:48 status half-installed libsepol2:arm64 3.9-2
2026-06-10 03:31:48 status unpacked libsepol2:arm64 3.9-2
2026-06-10 03:31:48 install libsmartcols1:arm64 <none> 2.41.3-3ubuntu2
2026-06-10 03:31:48 status half-installed libsmartcols1:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:48 status unpacked libsmartcols1:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:48 install libss2:arm64 <none> 1.47.2-3ubuntu4
2026-06-10 03:31:48 status half-installed libss2:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:48 status unpacked libss2:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:48 install libssl3t64:arm64 <none> 3.5.5-1ubuntu3
2026-06-10 03:31:48 status half-installed libssl3t64:arm64 3.5.5-1ubuntu3
2026-06-10 03:31:48 status unpacked libssl3t64:arm64 3.5.5-1ubuntu3
2026-06-10 03:31:48 install libsystemd0:arm64 <none> 259.5-0ubuntu3
2026-06-10 03:31:48 status half-installed libsystemd0:arm64 259.5-0ubuntu3
2026-06-10 03:31:48 status unpacked libsystemd0:arm64 259.5-0ubuntu3
2026-06-10 03:31:48 install libtinfo6:arm64 <none> 6.6+20251231-1
2026-06-10 03:31:48 status half-installed libtinfo6:arm64 6.6+20251231-1
2026-06-10 03:31:48 status unpacked libtinfo6:arm64 6.6+20251231-1
2026-06-10 03:31:48 install libudev1:arm64 <none> 259.5-0ubuntu3
2026-06-10 03:31:48 status half-installed libudev1:arm64 259.5-0ubuntu3
2026-06-10 03:31:48 status unpacked libudev1:arm64 259.5-0ubuntu3
2026-06-10 03:31:48 install libuuid1:arm64 <none> 2.41.3-3ubuntu2
2026-06-10 03:31:48 status half-installed libuuid1:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:48 status unpacked libuuid1:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:48 install libzstd1:arm64 <none> 1.5.7+dfsg-3
2026-06-10 03:31:48 status half-installed libzstd1:arm64 1.5.7+dfsg-3
2026-06-10 03:31:48 status unpacked libzstd1:arm64 1.5.7+dfsg-3
2026-06-10 03:31:48 install login:arm64 <none> 1:4.16.0-2+really2.41.3-3ubuntu2
2026-06-10 03:31:48 status half-installed login:arm64 1:4.16.0-2+really2.41.3-3ubuntu2
